# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-1031.00	43-4031.00	Supplemental	Court, Municipal, and License Clerks
11-2011.00	41-3011.00	Primary-Short	Advertising Sales Agents
11-2011.00	11-2021.00	Primary-Short	Marketing Managers
11-2011.00	13-1161.00	Primary-Short	Market Research Analysts and Marketing Specialists
11-2011.00	13-1161.01	Primary-Short	Search Marketing Strategists
11-2011.00	27-3031.00	Primary-Short	Public Relations Specialists
11-2011.00	11-2032.00	Primary-Long	Public Relations Managers
11-2011.00	11-2022.00	Primary-Long	Sales Managers
11-2011.00	11-2033.00	Primary-Long	Fundraising Managers
11-2011.00	13-1131.00	Primary-Long	Fundraisers
11-2011.00	13-1199.06	Primary-Long	Online Merchants
11-2011.00	27-3043.00	Supplemental	Writers and Authors
11-2011.00	41-3091.00	Supplemental	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel
11-2011.00	13-1011.00	Supplemental	Agents and Business Managers of Artists, Performers, and Athletes
11-2011.00	13-1111.00	Supplemental	Management Analysts
11-2011.00	27-1026.00	Supplemental	Merchandise Displayers and Window Trimmers
11-2011.00	15-2051.01	Supplemental	Business Intelligence Analysts
11-2011.00	11-3061.00	Supplemental	Purchasing Managers
11-2011.00	41-9041.00	Supplemental	Telemarketers
11-2011.00	15-1299.01	Supplemental	Web Administrators
11-2011.00	27-1011.00	Supplemental	Art Directors
11-2021.00	13-1161.00	Primary-Short	Market Research Analysts and Marketing Specialists
11-2021.00	11-2022.00	Primary-Short	Sales Managers
11-2021.00	11-2011.00	Primary-Short	Advertising and Promotions Managers
11-2021.00	13-1161.01	Primary-Short	Search Marketing Strategists
11-2021.00	41-3011.00	Primary-Short	Advertising Sales Agents
11-2021.00	15-2051.01	Primary-Long	Business Intelligence Analysts
11-2021.00	11-2032.00	Primary-Long	Public Relations Managers
11-2021.00	27-3031.00	Primary-Long	Public Relations Specialists
11-2021.00	11-3061.00	Primary-Long	Purchasing Managers
11-2021.00	13-1199.06	Primary-Long	Online Merchants
11-2021.00	41-3091.00	Supplemental	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel
11-2021.00	13-1111.00	Supplemental	Management Analysts
11-2021.00	13-1022.00	Supplemental	Wholesale and Retail Buyers, Except Farm Products
11-2021.00	15-1299.09	Supplemental	Information Technology Project Managers
11-2021.00	13-2051.00	Supplemental	Financial and Investment Analysts
11-2021.00	41-3031.00	Supplemental	Securities, Commodities, and Financial Services Sales Agents
11-2021.00	13-1082.00	Supplemental	Project Management Specialists
11-2021.00	13-1081.00	Supplemental	Logisticians
11-2021.00	11-1021.00	Supplemental	General and Operations Managers
11-2021.00	27-3043.00	Supplemental	Writers and Authors
11-2022.00	11-2021.00	Primary-Short	Marketing Managers
11-2022.00	41-3091.00	Primary-Short	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel
11-2022.00	13-1161.00	Primary-Short	Market Research Analysts and Marketing Specialists
11-2022.00	11-2011.00	Primary-Short	Advertising and Promotions Managers
11-2022.00	13-1022.00	Primary-Short	Wholesale and Retail Buyers, Except Farm Products
11-2022.00	11-3061.00	Primary-Long	Purchasing Managers
11-2022.00	41-1011.00	Primary-Long	First-Line Supervisors of Retail Sales Workers
11-2022.00	41-1012.00	Primary-Long	First-Line Supervisors of Non-Retail Sales Workers
11-2022.00	11-1021.00	Primary-Long	General and Operations Managers
11-2022.00	41-3011.00	Primary-Long	Advertising Sales Agents
11-2022.00	13-1111.00	Supplemental	Management Analysts
11-2022.00	13-1199.06	Supplemental	Online Merchants
11-2022.00	43-4051.00	Supplemental	Customer Service Representatives
11-2022.00	41-3031.00	Supplemental	Securities, Commodities, and Financial Services Sales Agents
11-2022.00	11-1011.00	Supplemental	Chief Executives
11-2022.00	13-1023.00	Supplemental	Purchasing Agents, Except Wholesale, Retail, and Farm Products
11-2022.00	13-1081.00	Supplemental	Logisticians
11-2022.00	13-2051.00	Supplemental	Financial and Investment Analysts
11-2022.00	43-4011.00	Supplemental	Brokerage Clerks
11-2022.00	43-1011.00	Supplemental	First-Line Supervisors of Office and Administrative Support Workers
11-2032.00	27-3031.00	Primary-Short	Public Relations Specialists
11-2032.00	11-2011.00	Primary-Short	Advertising and Promotions Managers
